folio,uri
149v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f306
150r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f307
150v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f308
151r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f309
151v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f310
152r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f311
152v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f312
153r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f313
153v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f314
154r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f315
154v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f316
155r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f317
155v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f318
156r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f319
156v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f320
157r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f321
157v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f322
158r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f323
158v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f324
159r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f325
159v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f326
160r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f327
160v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f328
161v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f330
162r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f331
162v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f332
163r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f333
163v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f334
