folio,uri
261v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_261v.jp2
146r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_146r.jp2
173v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_173v.jp2
095r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_095r.jp2
204r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_204r.jp2
028r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_028r.jp2
227r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_227r.jp2
260v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_260v.jp2
021v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_021v.jp2
059r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_059r.jp2
016v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_016v.jp2
211v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_211v.jp2
110r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_110r.jp2
178v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_178v.jp2
221v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_221v.jp2
263w,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_263ar.jp2
051v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_051v.jp2
146w,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_146ar.jp2
136v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_136v.jp2
149r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_149r.jp2
133v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_133v.jp2
257v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_257v.jp2
175r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_175r.jp2
022v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_022v.jp2
074r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_074r.jp2
222r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_222r.jp2
232r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_232r.jp2
077r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_077r.jp2
092v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_092v.jp2
061r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_061r.jp2
136r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_136r.jp2
070v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_070v.jp2
174r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_174r.jp2
024r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_024r.jp2
187v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_187v.jp2
266r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_266r.jp2
118v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_118v.jp2
064v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_064v.jp2
001r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_001r.jp2
238r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_238r.jp2
002r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_002r.jp2
091r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_091r.jp2
162r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_162r.jp2
235r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_235r.jp2
103v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_103v.jp2
197r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_197r.jp2
240r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_240r.jp2
281v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_281v.jp2
087v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_087v.jp2
148r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_148r.jp2
254r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_254r.jp2
004v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_004v.jp2
263v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_263v.jp2
153r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_153r.jp2
040r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_040r.jp2
042v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_042v.jp2
272v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_272v.jp2
150v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_150v.jp2
076v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_076v.jp2
255r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_255r.jp2
252v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_252v.jp2
261r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_261r.jp2
090r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_090r.jp2
232v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_232v.jp2
244r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_244r.jp2
182r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_182r.jp2
135r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_135r.jp2
090v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_090v.jp2
013v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_013v.jp2
003r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_003r.jp2
096v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_096v.jp2
128v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_128v.jp2
116r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_116r.jp2
023r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_023r.jp2
158v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_158v.jp2
231r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_231r.jp2
143v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_143v.jp2
160v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_160v.jp2
122v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_122v.jp2
108v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_108v.jp2
213v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_213v.jp2
130r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_130r.jp2
096r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_096r.jp2
022r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_022r.jp2
114r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_114r.jp2
227v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_227v.jp2
041r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_041r.jp2
043r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_043r.jp2
027v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_027v.jp2
278v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_278v.jp2
097r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_097r.jp2
170v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_170v.jp2
185r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_185r.jp2
194r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_194r.jp2
258v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_258v.jp2
230r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_230r.jp2
203v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_203v.jp2
188r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_188r.jp2
097v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_097v.jp2
032v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_032v.jp2
180r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_180r.jp2
230v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_230v.jp2
117r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_117r.jp2
009r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_009r.jp2
195v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_195v.jp2
236v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_236v.jp2
034v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_034v.jp2
124v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_124v.jp2
071v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_071v.jp2
037v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_037v.jp2
258r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_258r.jp2
181r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_181r.jp2
029v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_029v.jp2
151v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_151v.jp2
134r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_134r.jp2
271r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_271r.jp2
268r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_268r.jp2
072r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_072r.jp2
006r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_006r.jp2
236r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_236r.jp2
018r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_018r.jp2
163r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_163r.jp2
246v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_246v.jp2
