pagen,neume,id,ulx,uly,lrx,lry
15,Letter C,m-c33dd28f-edfb-42a3-9de6-13f413ffad6b,4224,5988,4245,6013
15,Virga strata (or with Punktum: Pressus maior) Simple,m-1c532473-f2e4-4c12-908b-4efc94daa452,4276,6024,4334,6073
15,Letter T,m-fe1caa1b-855f-474a-8bc1-5faeaf495f72,4328,5987,4365,6018
15,Clivis Episema c,m-6a0a1fca-f870-45a5-9e70-ea73939c5213,4534,5984,4567,6041
15,Clivis Episema c,m-cd1678db-0e44-4027-aec4-b9038e0a8200,4590,6067,4655,6126
15,Punctum Simple,m-9dbad0b6-0bb3-4089-a321-908f57928f33,4648,6010,4661,6023
15,Quilismatorculus Episema three,m-3ddcaa33-0639-4730-a1c7-fd9642beafbb,4702,6272,4835,6366
15,Virga Simple,m-7b7f823f-6355-41e7-8cc8-b8ba0c87c3b1,4716,5994,4748,6026
15,Letter S,m-b7443512-78ba-4189-9f16-e176ab1f29aa,4819,5976,4865,6035
15,Virga Episema,m-7427b19c-6543-412c-bd58-934ca6569074,4888,6282,4905,6298
15,Clivis Episema c,m-1a7efc4a-8a4b-441a-a0d2-c3a51c62777c,838,6291,904,6359
15,Torculus Episema a,m-778dbf74-09ae-476d-b8f6-f1666bffe695,997,6305,1054,6360
15,Tractulus Simple,m-49757b9a-150f-4d58-ab2e-676031283a28,1272,6006,1310,6022
15,Clivis Episema c,m-878875ed-e375-47bf-a876-08ec28554ff5,1420,6004,1484,6069
15,Virga Simple,m-17f07eb3-e531-45c9-bf45-de9a739d401e,1734,6328,1790,6382
15,Virga Simple,m-fb6cc3d0-9a9a-4a31-bd39-bdf912c52493,1821,6314,1883,6371
15,Porrectus Simple,m-6d3e7924-981b-4bae-80e2-e56841f47574,2039,6294,2132,6358
15,Torculus Simple,m-d53928dd-0db9-4df0-a109-60147ec8864b,2193,6310,2262,6370
15,Virga Simple,m-153459a9-0e5a-4656-b499-06592119449b,2834,6318,2890,6378
15,Clivis Episema c,m-2905a292-6afd-4256-b32a-7f8bccc213ba,3023,6313,3074,6376
15,Clivis Episema c,m-d39a7554-8880-4975-b456-eee7790f8e75,3298,5996,3369,6069
15,Virga Episema,m-719ad96d-9054-43f1-bb7a-b190b13a4062,3305,6306,3348,6363
15,Virga Episema,m-78bca243-4c2c-41f4-9538-1f419acdd3a6,3629,6011,3649,6034
15,Virga Simple,m-4788986a-282e-4e4c-8c88-15d5e2a8f873,3824,6313,3886,6365
15,Virga Episema,m-b093b555-d728-40af-a4ae-a8318cfbf5b9,3940,6014,3984,6069
15,Virga Episema,m-f5b83231-bcf4-4dd6-98e7-5ac9923e817a,4073,6299,4092,6316
15,Tractulus Simple,m-f028c061-f8b3-4e2d-88d5-1f7f137a5414,4320,6054,4343,6064
15,Clivis Episema a,m-416e3aa3-ccd2-4ea8-b488-c5ad3cf08c7e,4448,6317,4476,6372
15,Virga Episema,m-f3f636b8-46b0-403e-926b-14f4c4aac8eb,4486,6306,4541,6371
15,Punctum Simple,m-ba78fec9-adcf-4a14-aa46-69efe2e1cc7f,4660,6033,4680,6050
15,"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",m-10f5b2cb-4fac-48aa-8475-c3f574ad7815,4860,6012,4883,6048
15,Clivis Episema c,m-77345335-0721-49ad-849e-a51455b5466e,4966,6288,4986,6319
15,Tractulus Simple,m-2c034b38-dbe2-4971-b599-2df626587245,1184,5991,1219,6001
15,Torculus gedreht a (nicht kurrent),m-44405038-ee4d-410c-b2ae-e818fb54c8f5,1385,6272,1469,6333
15,Clivis Simple,m-4afaa9f7-9d2c-4ae4-98c1-ee7f5f2f5ca6,2385,6318,2430,6373
15,Virga Simple,m-28e62c61-5c48-4c47-8505-9dfc3f6ce58c,2549,6317,2587,6352
15,Pes Rotundus,m-4475ec07-26b3-45ef-806e-c67d1db4acc6,2688,6294,2769,6361
15,Pes Quadratus Episema,m-b186eeac-4256-4067-8774-245638d29882,3084,6297,3181,6375
15,Tractulus Simple,m-9ad4c18d-1ae3-4b02-a04b-d72091d403b3,3094,6024,3134,6038
15,Virga Episema,m-f26e6672-c16d-44f1-8c1d-196df4d8589f,3209,6307,3267,6377
15,Torculus gedreht a (nicht kurrent),m-c6c24ccc-46e7-405e-9578-2445e4d0b94e,3382,6287,3460,6346
15,Virga Episema,m-234997fc-7c89-44c9-8934-7c44d26aa2b7,3647,5981,3675,6011
15,Letter C,m-a9651f9c-6425-4376-98c4-81dce9a99556,3686,6299,3717,6336
15,Tractulus Simple,m-00ad7a95-aa76-46fb-8f0f-4fe7e405778e,1267,5986,1304,6000
15,Tractulus Simple,m-c41146ff-5f9f-47ea-b104-98de3b7b6ce8,3004,6024,3040,6035
15,Pes Quadratus Episema,m-e76f17e0-dfa6-4f94-897f-f0c673685b8b,3786,5993,3881,6070
15,Clivis Episema c,m-20a58ef6-0488-45ec-a45c-e658c7866748,4269,6306,4306,6341
15,Punctum Simple,m-a9f32770-f15d-4ec8-9dc2-f365375a7f32,4887,6322,4898,6335
15,Tractulus Simple,m-b2e23abe-e4ac-4a71-a985-12102cebae17,1144,6389,1174,6403
15,Tractulus Simple,m-84ddd51d-6435-40b0-93f3-0164aad30ebd,1161,6368,1190,6383
15,Letter I,m-ac29efc4-2d23-4e81-8619-8c07792f75fb,1498,6361,1520,6390
15,Tractulus Simple,m-7ea07524-39d7-404a-b0c5-3105d4ab1ad9,3247,6375,3284,6390
15,Tractulus Simple,m-1b1f9d4a-642d-482b-b204-cefda420c442,3328,6338,3359,6361
15,Tractulus Simple,m-dfd05461-175b-40c1-aa65-bc77a1d9d1a3,3338,6367,3370,6384
15,Clivis Simple,m-5beecb03-f28b-469b-92bc-05b5f3ce679b,3624,6347,3671,6400
15,Tractulus Simple,m-d871ece8-d5ae-4bcd-94e9-d8671a365992,4640,6390,4673,6403
15,Tractulus Simple,m-f7004ef7-ee41-4971-95b2-e109f6ac2151,1552,6360,1583,6374
15,Tractulus Simple,m-87fbd8d1-e641-4250-bd19-4308065689d2,3143,6370,3183,6385
15,Letter I,m-2bf6c4a0-e373-4307-a010-a4f6c1428de6,3583,6366,3600,6389
15,Punctum Simple,m-8e2a2c50-9a88-4cb9-aad9-56651b6a8346,4534,6367,4552,6383
15,Tractulus Simple,m-6603b4f5-55ee-4209-9964-83094a92f890,3240,6345,3279,6366
15,Punctum Simple,m-2921c3c5-5432-4ff3-8721-3fe10d88b749,4902,6346,4916,6360
15,Tractulus Simple,m-cec89926-797c-4e87-be2f-66d7c43ae666,3144,6345,3178,6360
16,Virga Simple,m-7be2a32a-7463-4ae8-a38c-7e64d43633ca,1462,712,1509,755
16,Quilismapes Episema three,m-78f21b1c-c548-442c-add5-bb24176f69c5,1602,988,1723,1069
16,Virga Episema,m-de90d7c4-6afa-46a3-8740-3837a53e2938,1673,679,1731,751
16,Tractulus Simple,m-f0af2ebc-9524-4559-87ca-7ea3a0eb66f9,1812,721,1842,737
16,Clivis Simple,m-85a307d5-4734-4617-a5b5-a176802f7154,1989,694,2041,753
16,Pes Quassus,m-7d53fea5-4e92-451d-a09b-5a9e8d1ffad5,2063,673,2155,753
16,Virga Simple,m-8928a5ed-6765-46f3-8b50-9c2798f94aa0,2153,744,2203,795
16,Pes Rotundus,m-153e9eef-1a1e-403a-b9c2-8701385796fb,2316,714,2396,784
16,Torculus resupinus (RE) Episema a,m-e2991b7f-056c-4f24-8957-c59469ab29e2,2461,681,2589,783
16,Tractulus Simple,m-dab43dc2-bd9f-44b8-b0cc-bbd79b23d75c,2557,775,2589,790
16,Tractulus Simple,m-98d8b75e-340a-4f60-b882-047165c4da57,2577,749,2604,765
16,Virga Episema,m-9a6b807f-1521-40c6-a473-dc0653b2a5f8,2615,664,2671,734
16,Tractulus Episema,m-df04fb40-15d1-4fcb-b339-8d059a5fa511,2647,694,2681,718
16,Tractulus Episema,m-b4dfa5bb-3a78-4fe4-a52a-671247bab939,2655,718,2691,741
16,Virga Episema,m-fce87c95-9bd4-4bc0-a2f3-c5e8f6b827e8,2722,655,2789,729
16,Tractulus Simple,m-2530b534-f08d-4fd2-aadd-3fa10c0c8485,2760,700,2782,712
16,Tractulus Episema,m-bb31be4e-0930-4dda-8026-4693553b413f,2768,712,2806,734
16,Virga Episema,m-1dfdde98-8d41-4ab4-8a8a-8e8610de4ec0,2850,669,2905,742
16,Virga strata (or with Punktum: Pressus maior) Simple,m-bf1a0afc-0f18-41b9-8647-0e478a104f22,2896,670,2956,747
16,Punctum Simple,m-6dd00073-97aa-4495-a7c4-f1af9dad38e9,2960,690,2979,707
16,Quilismatorculus Episema three,m-58a655df-341b-4d7c-a20c-a37a75c2da40,3165,953,3290,1048
16,Virga Simple,m-949f836a-3f9c-49b8-9f91-eabfa2dc11b7,1531,1067,1582,1122
16,Pes Quadratus,m-e29c090e-688d-436d-8600-a09631f5348b,1640,1103,1725,1173
16,Punctum Simple,m-121137ad-9956-4b36-8741-ce09e8779718,1690,1035,1704,1051
16,Punctum Simple,m-000de5c4-1db1-4b70-9003-db6223d3a358,1704,1059,1723,1076
16,Virga strata (or with Punktum: Pressus maior) Simple,m-60f228ce-72ab-41f7-bb12-95caece0e4a0,1704,1104,1772,1178
16,Punctum Simple,m-f3bc5d41-d559-4778-9438-9b8e82acc5de,1770,1126,1788,1143
16,Quilismapes Episema three,m-74888822-a79a-4176-a6e3-627773d401e5,1773,1342,1905,1412
16,Tractulus Simple,m-5a0ac66c-8787-4c6a-8c0b-4b7cec99239d,1874,1127,1905,1140
16,Pes Rotundus,m-77c9a5bc-cdc2-418c-9443-eedc6b6623f7,2062,1067,2131,1134
16,Tractulus Simple,m-a3fce333-90b6-498c-884d-b672896d260c,2355,1107,2386,1121
16,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-0835f9f2-5483-45be-ac29-12475a85587d,2483,1068,2537,1141
16,Pes Rotundus,m-a323b8c0-264e-4379-9bf3-e7cc8b886f6f,2753,1045,2824,1108
16,Virga Simple,m-b6124831-c5b5-49c2-a1b2-2ac126064ad1,2819,1049,2872,1106
16,Virga Simple,m-ce2517d0-78fb-479e-a3a4-903cdb5c512d,2950,1050,2997,1104
16,Virga Episema,m-4822bb94-1dd5-4b65-85b4-e09bc0577e17,3102,1041,3145,1101
16,Clivis Episema c,m-b5e33f93-7eb9-437e-b462-c49f97de85f6,3265,1070,3322,1135
16,Pes Quadratus Episema,m-77f395d1-8a9e-40a6-ac0e-fa0dc5f9c601,3504,1061,3586,1137
16,Virga strata (or with Punktum: Pressus maior) Simple,m-fdd6a8c8-fa98-4c5e-b30f-9e5d67b43400,3595,1063,3631,1085
16,Punctum Simple,m-ecce06b0-9a1e-4670-8bb5-c23fb9d0fd20,3625,1084,3643,1102
16,Torculus Simple,m-446b71be-1a0d-4ce6-bfd5-161f411d3b40,3705,1071,3778,1127
16,Virga Simple,m-bc13607c-d750-4001-aa2d-7de07feb64d5,3811,1077,3860,1131
16,Pes Rotundus,m-95c6e724-eb4e-4844-a12f-345bb6b680cb,3973,1054,4051,1120
16,Tractulus Simple,m-eeae0d3c-f5ea-4e8f-bb48-1213bebde21b,4161,1105,4187,1117
16,Torculus Episema c,m-8e38a029-90bd-41ff-bc6f-5ff4ad12a9e0,4453,1041,4544,1115
16,Virga Episema,m-6e9cf639-ff52-4de2-92e3-3e9627339ffe,4581,1015,4608,1048
16,Punctum Simple,m-42f083d6-cc08-46e5-aeed-020f3ec59542,4582,1064,4596,1079
16,Punctum Simple,m-43b39679-fdea-4ed1-9e1b-0e33fe293f3b,4603,1083,4624,1100
16,Clivis Simple,m-dd55bbc7-98df-43bd-850d-2ed2403cdfab,4655,1127,4703,1183
16,Quilismatorculus Episema three,m-e96957b0-f560-4f16-8a90-64c0e6fbe31d,4710,1359,4863,1451
16,Quilismatorculus Simple three,m-bced6d1e-93e8-4775-9902-abfdfd1615ca,4892,1065,5008,1137
16,Torculus Simple,m-4401fef7-3b7e-4204-93c1-2b564d005a7e,5031,1047,5097,1099
16,Clivis Episema c,m-9389ecd8-c298-42b0-b8a3-874dada16b07,5045,1118,5103,1179
16,Liquescent Quilismatorculus resupinus aug. Simple two,m-fd12366e-d44d-4166-92a0-121d7f595cfb,5107,1075,5253,1167
16,Virga Episema,m-7373492f-98d1-4285-8e47-d861e2a330a0,5230,1123,5289,1191
16,Punctum Simple,m-758c3066-3ada-41ed-a9b0-dc2c4ca3691a,5269,1164,5284,1184
16,Punctum Simple,m-f557d5ac-a31c-4380-bcab-8ce57d0c6c82,5285,1188,5301,1203
16,Clivis Episema c,m-d4f3ff73-ac1d-4204-98ed-a102009899f1,5324,1149,5387,1208
16,Punctum Simple,m-8be9d26b-98e8-4eb4-820f-54249afd4619,1872,1390,1885,1406
16,Pes Rotundus,m-2e214611-c362-4502-b270-f7a5d5a57835,2646,1048,2718,1119
16,Pes Rotundus,m-6e0300c7-20f1-489a-bfe6-59ac2a3e621d,3621,1397,3704,1467
16,Pes Rotundus,m-71eecbc4-dc5e-43ad-9a75-3bef595525d5,4281,1393,4362,1459
16,Pes Rotundus,m-33ff6c73-806b-44f5-980f-78ab8646a85d,4431,1380,4514,1450
16,Tractulus Simple,m-085eaf47-197a-49a9-8437-769e73981845,4847,1125,4877,1138
16,Torculus Episema c,m-6c989363-d8aa-4010-8807-918c1fc7d27a,1524,1722,1613,1796
16,Virga Simple,m-799eafc5-984c-48d9-8699-73e08049c07b,1537,1419,1598,1476
16,Virga Episema,m-a44a2148-eae8-4eaa-8be4-11fd35a50387,1603,1716,1666,1793
16,Virga Simple,m-0204c464-3b2e-4c5b-bc50-98634346be70,1698,1400,1753,1447
16,Liquescent Stropha Simple,m-05f5589a-7cbf-43ca-b796-3a4961773b9d,1856,1413,1900,1463
16,Pes Quadratus,m-8d45748d-67a3-481f-b43f-f04ab2ff73d5,1880,1444,1974,1516
16,Virga strata (or with Punktum: Pressus maior) Simple,m-03dd5bbd-e995-4b96-a631-76da9f5948fa,1970,1452,2015,1474
16,Punctum Simple,m-2e77b1b8-cb63-47bb-a1a0-e5b77ee96d40,2014,1471,2032,1490
16,Virga Simple,m-45a4ac91-e5c7-49e5-a204-49433a9fd25e,2053,1449,2105,1500
16,Quilismatorculus Simple three,m-c8f5da7c-3d78-4554-b76e-d4422be42c1b,2192,1728,2307,1814
16,Virga Simple,m-d8c8a788-2f4c-4a62-8d2f-91afff9a0e72,2319,1429,2371,1478
16,Torculus Simple,m-6666c4cd-507b-460f-a705-863923c5e92b,2323,1717,2380,1766
16,Quilismatorculus resupinus Simple,m-fa16e50a-7a0c-4358-b656-ee2481d6bb2f,2442,1738,2606,1823
16,Virga Simple,m-6004c5b7-9a5e-45af-a11d-61cbabd9e3be,2486,1425,2544,1476
16,"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",m-25e0c39e-81cc-48ec-91ac-3ff050614714,2716,1436,2747,1471
16,Tractulus Simple,m-8ba106da-3c07-41ed-9e69-c76383829fe9,2963,1449,2994,1465
16,Tractulus Simple,m-e53748c3-3ddf-420d-b7bd-ab7b68466d9e,3266,1451,3296,1466
16,Tractulus Simple,m-bbe82b01-fd68-40b6-8aa5-5422cbb5b8a6,3752,1445,3788,1461
16,Tractulus Simple,m-6d36bdf6-4fd1-4257-a7e0-2a7950449978,3942,1437,3979,1453
16,Clivis Simple,m-4a6a7b4b-21cf-4a90-9d85-23017e29afea,4086,1404,4134,1461
16,Quilismatorculus Simple three,m-30e3e6f1-770d-475d-a7df-191981b38487,4297,1745,4408,1821
16,Torculus Simple,m-eb46c87a-fe4b-4aea-8643-c250b151a7d3,4425,1729,4484,1777
16,Tractulus Simple,m-2fc0ffbb-507f-41fe-8aad-a159b5de98fe,4669,1440,4694,1453
16,Clivis Episema c,m-df7248df-d990-423f-9e98-876633e3ecd4,4859,1445,4905,1508
16,Pes Quadratus,m-163b27a7-90d0-44cd-8ea0-c128cf56ab7f,5205,1431,5294,1497
16,Virga strata (or with Punktum: Pressus maior) Simple,m-9388ee42-8a77-436d-8af7-4e01fa679c62,5310,1431,5352,1455
16,Punctum Simple,m-aec5196e-e4e5-416a-bb3f-00dbab67c5ca,5344,1454,5364,1472
16,Torculus Simple,m-f1a4b71a-8782-4b57-a971-daad37d2507b,5362,1464,5426,1518
16,Virga Simple,m-43c2aee1-2ceb-4e01-b5f2-891b3a8aedb4,5495,1453,5552,1505
16,Punctum Simple,m-43a0f57b-c880-494c-98c3-b8b3df2f758c,1639,1761,1655,1778
16,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-cc14b4b4-b345-4bb5-93a6-2c3ecbd0bd82,1741,1780,1791,1851
16,Virga Simple,m-bedb8b09-dd7e-413b-8e5e-d77a52374986,2182,1433,2243,1487
16,Clivis Episema c,m-cff5ca55-5d14-46b9-a0d5-e7299a649af6,2401,1760,2450,1825
16,Virga Episema,m-235aff29-7c41-4ff3-bb99-001a27b25c81,2578,1778,2643,1844
